Set_of_parameters_modelNumber	C_Value	Sigma_Value	Genes	Misclass	Misclass_Error	LogLoss	LogLoss_Error	GOF	GOF_Error	Accuracy0	Accuracy1	Accuracy0_err	Accuracy1_err	MCC
30deg0-12deg1-6deg2_1	1	1	GNRH2	0.775862	0.006115	0.992095	0.035650	0.775862	0.006115	0.966129	0.045136	0.007391	0.009357	0.0219872347444537
30deg0-16deg1-8deg2_2	10	1	NGF	0.313480	0.004856	0.672336	0.014521	0.313480	0.004856	0.224194	0.798054	0.005613	0.007162	0.0217574612349564
30deg0-20deg1-0deg2_2	10	1	NGF	0.313480	0.004856	0.672336	0.014521	0.313480	0.004856	0.224194	0.798054	0.005613	0.007162	0.0217574612349564
30deg0-16deg1-0deg2_7	10	10	CD3EAP	0.687147	0.038721	0.722998	0.004907	0.687147	0.038721	0.833871	0.187160	0.061255	0.062573	0.0215193109028304
30deg0-14deg1-10deg2_1	1	1	BMI1	0.733856	0.003633	0.907584	0.021572	0.733856	0.003633	0.904839	0.112062	0.001613	0.004741	0.0214793978584305
30deg0-14deg1-8deg2_15	100000	100	SYN3	0.448903	0.001536	1.479875	0.044886	0.448903	0.001536	0.451613	0.575097	0.000000	0.001906	0.0213482494797746
30deg0-10deg1-2deg2_5	10000	1	HNF4A	0.705643	0.018240	0.800517	0.083340	0.705643	0.018240	0.809677	0.170039	0.029428	0.029147	-0.0211728370743943
30deg0-12deg1-0deg2_10	10000	10	TNC	0.782132	0.004679	0.819508	0.016477	0.782132	0.004679	0.974194	0.035409	0.005483	0.007091	0.0211051779816946
30deg0-10deg1-0deg2_9	1000	10	ERCC2;CEACAM1	0.297806	0.056426	2.697540	2.108488	0.297806	0.056426	0.143548	0.836965	0.095161	0.092996	-0.0210739647438141
30deg0-4deg1-0deg2_11	100000	10	PRKCA	0.499687	0.032397	0.696399	0.003774	0.499687	0.032397	0.464516	0.508949	0.048255	0.051666	-0.0210084357901123
30deg0-10deg1-4deg2_9	1000	10	RCN3	0.648903	0.053445	0.728658	0.005764	0.648903	0.053445	0.712903	0.263813	0.095898	0.089279	-0.0207937472665461
30deg0-8deg1-0deg2_21	100000	100000	ELN;ATP5B;C1QA;CPB2	0.742006	0.060502	2.002259	0.532192	0.742006	0.060502	0.874194	0.109339	0.093548	0.097665	-0.0206186027429072
30deg0-16deg1-8deg2_1	1	1	NGF	0.313480	0.005183	0.659457	0.010621	0.313480	0.005183	0.222581	0.798444	0.005790	0.007756	0.020584645724594
30deg0-12deg1-6deg2_9	1000	10	RBM4B	0.624765	0.004075	0.890562	0.005105	0.624765	0.004075	0.672581	0.303502	0.004839	0.005771	-0.0204970421524231
30deg0-20deg1-6deg2_1	1	1	COL4A3	0.575862	0.093845	0.969242	0.119515	0.575862	0.093845	0.656452	0.368093	0.140446	0.150359	0.0201943027154934
30deg0-18deg1-8deg2_20	100000	10000	CSF1	0.644514	0.050504	0.710381	0.006564	0.644514	0.050504	0.706452	0.270817	0.096828	0.086011	-0.0201390907970967
30deg0-4deg1-4deg2_16	1000	1000	PYGO1;OPCML	0.671160	0.068475	0.720273	0.007496	0.671160	0.068475	0.806452	0.213619	0.098550	0.108769	0.019508855633719
30deg0-4deg1-4deg2_19	10000	10000	PYGO1;OPCML	0.671160	0.068475	0.720277	0.007495	0.671160	0.068475	0.806452	0.213619	0.098550	0.108769	0.019508855633719
30deg0-8deg1-4deg2_7	10	10	TAS2R16	0.804075	0.000701	2.418812	0.437362	0.804075	0.000701	1.000000	0.001946	0.000000	0.000870	0.0194631274957531
30deg0-20deg1-0deg2_21	100000	100000	HMG20B;FOXF2	0.700627	0.047314	0.842782	0.033383	0.700627	0.047314	0.803226	0.177821	0.073039	0.076143	-0.0194579774176057
30deg0-6deg1-2deg2_21	100000	100000	QKI	0.788088	0.005270	0.764452	0.006679	0.788088	0.005270	0.959677	0.031518	0.031830	0.012406	-0.0194392113965441
30deg0-6deg1-4deg2_8	100	10	TLR4;RPH3AL;HTR2A	0.643887	0.049436	0.776892	0.021960	0.643887	0.049436	0.706452	0.271595	0.098339	0.083962	-0.019436099974302
30deg0-6deg1-2deg2_2	10	1	ITGBL1	0.727900	0.004278	0.915178	0.015499	0.727900	0.004278	0.893548	0.122179	0.002634	0.005689	0.0192115852159717
30deg0-10deg1-0deg2_1	1	1	LAMB3	0.679937	0.013724	0.908880	0.027873	0.679937	0.013724	0.819355	0.199611	0.022010	0.022149	0.0189083840435797
30deg0-14deg1-0deg2_1	1	1	LAMB3	0.679937	0.013724	0.908880	0.027873	0.679937	0.013724	0.819355	0.199611	0.022010	0.022149	0.0189083840435797
30deg0-0deg1-0deg2_5	10000	1	MAPT	0.503448	0.013650	0.683338	0.002144	0.503448	0.013650	0.474194	0.501946	0.035921	0.025370	-0.0188846876862528
30deg0-10deg1-0deg2_19	10000	10000	IGF1	0.201567	0.000669	0.622197	0.039688	0.201567	0.000669	0.019355	0.986381	0.002151	0.001329	0.0188384946930492
30deg0-18deg1-4deg2_3	100	1	TAC1	0.744514	0.014276	0.749161	0.002376	0.744514	0.014276	0.880645	0.104669	0.037573	0.026501	-0.0187596812138911
30deg0-14deg1-8deg2_7	10	10	SYN3	0.454545	0.005033	1.119413	0.052649	0.454545	0.005033	0.456452	0.566926	0.003443	0.006986	0.0186472939827966
30deg0-10deg1-8deg2_15	100000	100	LCN2;RCVRN;BAK1;MYL1;NOX3	0.739812	0.028379	0.727349	0.009204	0.739812	0.028379	0.872581	0.112451	0.058622	0.049343	-0.0185406244424195
30deg0-8deg1-6deg2_1	1	1	CRIM1;ARHGAP25;PAIP2B	0.307210	0.000000	0.654669	0.000000	0.307210	0.000000	0.161290	0.821012	0.000000	0.000000	-0.0184083569434072
30deg0-20deg1-4deg2_11	100000	10	MME	0.672100	0.002652	1.199671	0.024852	0.672100	0.002652	0.806452	0.212451	0.002404	0.003768	0.0184039748749224
30deg0-4deg1-2deg2_8	100	10	MSC;DLG2;ELN;CPB2	0.573668	0.093088	0.811808	0.073397	0.573668	0.093088	0.650000	0.372374	0.140446	0.149424	0.0183580537322207
30deg0-6deg1-4deg2_21	100000	100000	SV2A	0.761129	0.005776	0.858855	0.018495	0.761129	0.005776	0.941935	0.069261	0.011581	0.009545	0.0177092813802019
30deg0-14deg1-0deg2_17	10000	1000	COL1A1;ACTN1;SGK1;DAB2;LAMB3	0.640125	0.009878	0.755190	0.008084	0.640125	0.009878	0.754839	0.264591	0.032774	0.019619	0.0175106337610384
30deg0-14deg1-8deg2_21	100000	100000	DDR2;LHX2;SLC1A5;DAB2	0.799687	0.006347	0.774070	0.014487	0.799687	0.006347	0.983871	0.011284	0.007603	0.009609	-0.0174461841611623
30deg0-10deg1-2deg2_9	1000	10	BMP2K;C1QA	0.804389	0.001254	0.693364	0.000078	0.804389	0.001254	1.000000	0.001556	0.000000	0.001556	0.0174011392229789
30deg0-6deg1-2deg2_11	100000	10	AGER;QKI	0.804389	0.000512	0.753807	0.008668	0.804389	0.000512	1.000000	0.001556	0.000000	0.000635	0.0174011392229789
30deg0-8deg1-2deg2_9	1000	10	CEACAM1;HNF4A;MSC	0.793103	0.002090	0.804105	0.021752	0.793103	0.002090	0.987097	0.018677	0.002151	0.003113	0.0173978919162482
30deg0-12deg1-4deg2_5	10000	1	ETS2;PNLIP;TLR4	0.576803	0.076280	0.738331	0.016244	0.576803	0.076280	0.653226	0.367704	0.115591	0.122568	0.0172168893593035
30deg0-16deg1-6deg2_7	10	10	CEACAM8;DDR2;LHX2	0.768025	0.000000	1.012990	0.007200	0.768025	0.000000	0.951613	0.058366	0.000000	0.000000	0.0171131238544958
30deg0-8deg1-8deg2_9	1000	10	XBP1;HTR2A;PHF20	0.747022	0.061755	0.705901	0.003695	0.747022	0.061755	0.887097	0.100000	0.096774	0.100000	-0.0168332756698466
30deg0-18deg1-2deg2_14	10000	100	IGF1;S100P;BDNF;COL16A1	0.745455	0.032449	0.778889	0.019193	0.745455	0.032449	0.917742	0.094553	0.043905	0.050862	0.0168196602541698
30deg0-8deg1-4deg2_3	100	1	PDZD3	0.351097	0.005204	0.925635	0.108986	0.351097	0.005204	0.232258	0.749416	0.004928	0.007433	-0.0168143592753843
30deg0-16deg1-2deg2_1	1	1	PALM	0.232915	0.010196	0.630816	0.001476	0.232915	0.010196	0.050000	0.940078	0.006989	0.014270	-0.0167978629426787
30deg0-18deg1-2deg2_21	100000	100000	PRKCB;TGFB2;BDNF	0.761442	0.004660	0.872072	0.014635	0.761442	0.004660	0.912903	0.075875	0.013213	0.008972	-0.0165533680387749
30deg0-20deg1-4deg2_21	100000	100000	MSC	0.784013	0.010232	0.768030	0.015501	0.784013	0.010232	0.974194	0.033074	0.013644	0.015909	0.0164250950699952
30deg0-8deg1-2deg2_21	100000	100000	ELN;S100P;ZNF668	0.788715	0.014889	0.804172	0.018398	0.788715	0.014889	0.980645	0.025681	0.012903	0.021510	0.0162077886808516
30deg0-4deg1-0deg2_7	10	10	BMP2K;TLE1;QKI;MRPS12	0.680251	0.014365	0.823476	0.005669	0.680251	0.014365	0.816129	0.200000	0.029565	0.024963	0.0160509395277365
30deg0-6deg1-2deg2_16	1000	1000	COL1A1;PHLDA1;CEACAM1;GRTP1	0.477743	0.065358	0.704539	0.006623	0.477743	0.065358	0.437097	0.542802	0.098680	0.104712	-0.0159780107446688
30deg0-6deg1-2deg2_20	100000	10000	CEACAM1;COL1A1;PHLDA1;GRTP1	0.477743	0.065358	0.704639	0.006624	0.477743	0.065358	0.437097	0.542802	0.098680	0.104712	-0.0159780107446688
30deg0-14deg1-10deg2_6	100000	1	TPK1;VEGFC	0.726019	0.053083	0.757711	0.024836	0.726019	0.053083	0.851613	0.134630	0.098925	0.089754	-0.0158170422191077
30deg0-20deg1-6deg2_5	10000	1	GNAI1;DHRS7;GAA	0.457680	0.092208	0.691530	0.022144	0.457680	0.092208	0.404839	0.575486	0.161996	0.153511	-0.0157706594850436
30deg0-12deg1-6deg2_2	10	1	FAM134B	0.347022	0.000669	0.622728	0.001687	0.347022	0.000669	0.227419	0.755642	0.004466	0.000971	-0.0156707448906164
30deg0-16deg1-6deg2_11	100000	10	CFH	0.756426	0.004947	1.162343	0.075357	0.756426	0.004947	0.904839	0.084047	0.012366	0.009008	-0.0156691968354592
30deg0-8deg1-10deg2_7	10	10	WIPF1;GTF2H5;ZIC4;PDIA3	0.244514	0.000000	0.534030	0.002995	0.244514	0.000000	0.096774	0.914397	0.000000	0.000000	0.0156217338876529
30deg0-14deg1-2deg2_11	100000	10	GNAI1	0.512853	0.080262	0.795850	0.022014	0.512853	0.080262	0.495161	0.485214	0.146075	0.134764	-0.0155351685488783
30deg0-16deg1-0deg2_11	100000	10	GNAI1	0.512853	0.080262	0.795850	0.022014	0.512853	0.080262	0.495161	0.485214	0.146075	0.134764	-0.0155351685488783
30deg0-4deg1-0deg2_10	10000	10	PRKCA	0.435423	0.012491	0.689133	0.002328	0.435423	0.012491	0.369355	0.611673	0.021832	0.020572	-0.0154309640231562
30deg0-8deg1-0deg2_10	10000	10	PRKCA	0.435423	0.012491	0.689133	0.002328	0.435423	0.012491	0.369355	0.611673	0.021832	0.020572	-0.0154309640231562
30deg0-20deg1-0deg2_4	1000	1	AGER	0.484326	0.025703	1.151596	0.062626	0.484326	0.025703	0.500000	0.519455	0.048566	0.043612	0.0154044587286291
30deg0-4deg1-6deg2_11	100000	10	NHLH1	0.436364	0.005963	0.917103	0.034634	0.436364	0.005963	0.420968	0.598054	0.009451	0.009425	0.0153296488074728
30deg0-6deg1-6deg2_10	10000	10	HNF4A	0.577116	0.074488	0.696125	0.007272	0.577116	0.074488	0.601613	0.379767	0.119133	0.120990	-0.0151539761252984
30deg0-12deg1-4deg2_18	100000	1000	FBN1;DDR2;EVI2A;GPRC5D	0.469906	0.073264	0.680116	0.017560	0.469906	0.073264	0.425806	0.555253	0.125309	0.121167	-0.0150953298099072
30deg0-18deg1-8deg2_12	100	100	PRLR	0.804702	0.000940	0.764108	0.012557	0.804702	0.000940	1.000000	0.001167	0.000000	0.001167	0.0150674648099005
30deg0-18deg1-8deg2_16	1000	1000	PRLR	0.804702	0.000940	0.763004	0.011641	0.804702	0.000940	1.000000	0.001167	0.000000	0.001167	0.0150674648099005
30deg0-2deg1-2deg2_12	100	100	PRLR	0.804702	0.000940	0.764108	0.012557	0.804702	0.000940	1.000000	0.001167	0.000000	0.001167	0.0150674648099005
30deg0-2deg1-2deg2_17	10000	1000	PRLR	0.804702	0.000940	0.764077	0.012593	0.804702	0.000940	1.000000	0.001167	0.000000	0.001167	0.0150674648099005
30deg0-4deg1-6deg2_12	100	100	FBN1;MRPS12;NOX3;TBXA2R	0.804702	0.000479	0.750722	0.003825	0.804702	0.000479	1.000000	0.001167	0.000000	0.000594	0.0150674648099005
30deg0-20deg1-0deg2_17	10000	1000	CFH;IGF1R;BIRC3	0.752978	0.033681	0.771066	0.015762	0.752978	0.033681	0.927419	0.082879	0.043628	0.052297	0.0149459675030585
30deg0-16deg1-0deg2_15	100000	100	ARHGEF1;TGFBI	0.727273	0.000000	0.994651	0.000000	0.727273	0.000000	0.854839	0.132296	0.000000	0.000000	-0.0149067578918594
30deg0-0deg1-2deg2_11	100000	10	MSC	0.480251	0.049470	0.710792	0.007173	0.480251	0.049470	0.443548	0.538132	0.085727	0.081973	-0.0145493070200857
30deg0-14deg1-6deg2_11	100000	10	MSC	0.480251	0.049470	0.710792	0.007173	0.480251	0.049470	0.443548	0.538132	0.085727	0.081973	-0.0145493070200857
30deg0-16deg1-6deg2_13	1000	100	CEACAM8;ACTN1;ADRA2A	0.726959	0.056740	0.702421	0.003380	0.726959	0.056740	0.887097	0.124903	0.096774	0.093774	0.014479499564884
30deg0-20deg1-6deg2_11	100000	10	POU6F1	0.488088	0.090705	0.756596	0.065076	0.488088	0.090705	0.456452	0.525292	0.146135	0.147711	-0.0144720816816203
30deg0-16deg1-10deg2_21	100000	100000	MYO1A;HMGA1;ARHGEF1;CLDN3	0.752038	0.034862	0.752957	0.010796	0.752038	0.034862	0.898387	0.091051	0.064474	0.058768	-0.0143831956055781
30deg0-10deg1-6deg2_1	1	1	CTGF	0.726019	0.038326	0.746808	0.002532	0.726019	0.038326	0.885484	0.126459	0.056102	0.061079	0.0143322790944046
30deg0-18deg1-0deg2_8	100	10	MRTO4;CFD;INS;BDNF	0.635423	0.086671	0.790040	0.044387	0.635423	0.086671	0.700000	0.283658	0.152753	0.144431	-0.014297701131804
30deg0-8deg1-0deg2_14	10000	100	ELN	0.612226	0.091710	0.696298	0.004813	0.612226	0.091710	0.661290	0.321790	0.146371	0.149032	-0.0142939190330759
30deg0-20deg1-4deg2_9	1000	10	CTGF	0.728213	0.042903	0.765575	0.010624	0.728213	0.042903	0.888710	0.122957	0.077481	0.071678	0.0141718044872637
30deg0-16deg1-2deg2_3	100	1	QKI	0.699373	0.070893	0.723461	0.007741	0.699373	0.070893	0.843548	0.169650	0.104363	0.113173	0.0139994478707506
30deg0-20deg1-2deg2_3	100	1	QKI	0.699373	0.070893	0.723461	0.007741	0.699373	0.070893	0.843548	0.169650	0.104363	0.113173	0.0139994478707506
30deg0-4deg1-6deg2_9	1000	10	GABBR2;RCN3;CEACAM1	0.485893	0.000000	0.812288	0.012975	0.485893	0.000000	0.500000	0.517510	0.000000	0.000000	0.013863113687212
30deg0-8deg1-10deg2_5	10000	1	SGK1;HDAC9	0.219436	0.000000	1.594652	0.016773	0.219436	0.000000	0.032258	0.961089	0.000000	0.000000	-0.0138362366158789
30deg0-8deg1-10deg2_6	100000	1	SGK1;HDAC9	0.219436	0.000000	1.541802	0.025455	0.219436	0.000000	0.032258	0.961089	0.000000	0.000000	-0.0138362366158789
30deg0-4deg1-6deg2_3	100	1	CTGF	0.655172	0.014502	0.781679	0.008783	0.655172	0.014502	0.733871	0.250973	0.026146	0.024107	-0.0137789432264341
30deg0-20deg1-0deg2_12	100	100	CFH;IGF1R;BIRC3	0.755799	0.034025	0.771089	0.015741	0.755799	0.034025	0.930645	0.078599	0.044076	0.052834	0.0137371624287098
30deg0-18deg1-0deg2_12	100	100	NGF	0.720690	0.043277	0.976296	0.132447	0.720690	0.043277	0.845161	0.142802	0.078950	0.072760	-0.0135221916996121
30deg0-10deg1-2deg2_3	100	1	ATP1B3	0.598746	0.073271	0.997324	0.150241	0.598746	0.073271	0.640323	0.343580	0.144843	0.125775	-0.0133838449993598
30deg0-14deg1-10deg2_15	100000	100	CEACAM7;HMGA1;TPM2;FBN1	0.721630	0.034653	0.737996	0.002089	0.721630	0.034653	0.877419	0.133852	0.061826	0.057758	0.0131904735646056
30deg0-14deg1-2deg2_2	10	1	SCN5A	0.414107	0.078035	0.661954	0.018942	0.414107	0.078035	0.380645	0.635409	0.126686	0.127331	0.013174793145311
30deg0-16deg1-0deg2_2	10	1	SCN5A	0.414107	0.078035	0.661954	0.018942	0.414107	0.078035	0.380645	0.635409	0.126686	0.127331	0.013174793145311
30deg0-16deg1-0deg2_5	10000	1	ARHGEF1;CTGF	0.591536	0.088806	0.695607	0.009493	0.591536	0.088806	0.629032	0.355253	0.144363	0.144937	-0.0129686486441178
30deg0-6deg1-6deg2_2	10	1	FMO4	0.795611	0.006928	0.768582	0.019863	0.795611	0.006928	0.988710	0.015175	0.007993	0.010512	0.012895415447419
30deg0-8deg1-2deg2_4	1000	1	HNF4A;CTGF;S100P;ZNF273	0.768025	0.027104	0.740389	0.004196	0.768025	0.027104	0.948387	0.059144	0.035727	0.040788	0.0127823733772149
30deg0-14deg1-10deg2_3	100	1	ITIH4	0.267712	0.001417	0.582584	0.007697	0.267712	0.001417	0.106452	0.883268	0.002634	0.002320	-0.012763855177336
30deg0-20deg1-0deg2_19	10000	10000	ETS2;BUB1;CFD;GATA3	0.338245	0.075851	0.637545	0.022418	0.338245	0.075851	0.253226	0.760311	0.104998	0.119094	0.0125013409750026
30deg0-18deg1-2deg2_12	100	100	IGF1;S100P;ATM;CEACAM8	0.761129	0.021551	0.746246	0.011349	0.761129	0.021551	0.916129	0.075486	0.028530	0.027825	-0.0124374054883435
30deg0-18deg1-2deg2_17	10000	1000	IGF1;S100P;ATM;CEACAM8	0.761129	0.021551	0.746253	0.011355	0.761129	0.021551	0.916129	0.075486	0.028530	0.027825	-0.0124374054883435
30deg0-10deg1-8deg2_18	100000	1000	BMI1	0.783386	0.008686	1.351285	0.233988	0.783386	0.008686	0.970968	0.034630	0.010966	0.013410	0.0123032181856808
30deg0-18deg1-6deg2_6	100000	1	BIRC3;ATM;FARP1;CD40	0.783386	0.014840	0.741436	0.004966	0.783386	0.014840	0.970968	0.034630	0.019355	0.023089	0.0123032181856808
30deg0-0deg1-2deg2_13	1000	100	CD80;DLG2	0.805016	0.000627	0.693256	0.000039	0.805016	0.000627	1.000000	0.000778	0.000000	0.000778	0.0123006043640651
30deg0-6deg1-2deg2_15	100000	100	MCTP2;GADD45G;GPR137B;CEACAM1	0.551724	0.000000	0.853483	0.009609	0.551724	0.000000	0.564516	0.420233	0.000000	0.000000	-0.0122147611550101
30deg0-8deg1-4deg2_6	100000	1	PRKCA	0.224138	0.026646	0.662861	0.005785	0.224138	0.026646	0.040323	0.953307	0.040323	0.042802	-0.0121010311201519
30deg0-16deg1-6deg2_19	10000	10000	FXYD1;PRLR;PAIP2B;HMOX1	0.513166	0.017177	0.702932	0.004396	0.513166	0.017177	0.501613	0.483268	0.033871	0.029456	-0.0119698885709952
30deg0-8deg1-2deg2_6	100000	1	GPR137B;GABBR2;FXYD5	0.644828	0.081883	0.716374	0.004949	0.644828	0.081883	0.719355	0.267315	0.142898	0.136110	-0.0118824589675704
30deg0-10deg1-10deg2_7	10	10	LILRB5;MRTO4;TLE1	0.710345	0.015883	0.770067	0.006263	0.710345	0.015883	0.858065	0.152529	0.023656	0.025422	0.0117251227365814
30deg0-10deg1-0deg2_2	10	1	DDR2;PRKCB	0.466458	0.093829	0.697536	0.004694	0.466458	0.093829	0.464516	0.550195	0.150936	0.152781	0.0116949647622799
30deg0-16deg1-10deg2_13	1000	100	HMGA1;ADAM28;GZMA;OSBPL9	0.696552	0.052035	0.782800	0.028857	0.696552	0.052035	0.806452	0.182101	0.113338	0.091637	-0.0116818593119278
30deg0-16deg1-10deg2_18	100000	1000	HMGA1;ADAM28;GZMA;OSBPL9	0.696552	0.052035	0.782986	0.028889	0.696552	0.052035	0.806452	0.182101	0.113338	0.091637	-0.0116818593119278
30deg0-12deg1-4deg2_16	1000	1000	SCN5A;GAA;GPR35;MSC	0.300627	0.066932	0.656587	0.010737	0.300627	0.066932	0.188710	0.822568	0.112108	0.110086	0.0116255951265927
30deg0-10deg1-2deg2_6	100000	1	PAX2;SYNPO;OLFML2B;FAM134B	0.730094	0.037795	0.737226	0.009371	0.730094	0.037795	0.888710	0.120623	0.056666	0.060581	0.0114138771378163
30deg0-14deg1-0deg2_14	10000	100	ETS2;HNF4A	0.321003	0.080252	0.959064	0.037982	0.321003	0.080252	0.222581	0.789105	0.126904	0.130226	0.0112911164152871
30deg0-12deg1-0deg2_11	100000	10	TNC	0.796238	0.003910	0.768741	0.014190	0.796238	0.003910	0.988710	0.014397	0.004199	0.005802	0.0105413813371802
30deg0-18deg1-8deg2_2	10	1	DTNA	0.694671	0.072020	0.750728	0.020332	0.694671	0.072020	0.804839	0.184825	0.123853	0.119260	-0.0104931715160518
30deg0-10deg1-6deg2_20	100000	10000	ZNF668	0.383386	0.009486	0.818361	0.037097	0.383386	0.009486	0.293548	0.694553	0.014783	0.015239	-0.0102444839533314
30deg0-14deg1-10deg2_19	10000	10000	QPCTL;PRKCB;GNAI1	0.609718	0.079370	0.819988	0.056822	0.609718	0.079370	0.695161	0.316732	0.123362	0.128273	0.0101362847155318
30deg0-16deg1-8deg2_21	100000	100000	IL10;HR	0.727900	0.051829	0.704084	0.005607	0.727900	0.051829	0.883871	0.124514	0.077419	0.083009	0.0101064382655364
30deg0-4deg1-6deg2_2	10	1	CTGF	0.705643	0.030477	0.743743	0.002558	0.705643	0.030477	0.848387	0.160700	0.045759	0.048831	0.00983487727642493
30deg0-10deg1-10deg2_2	10	1	PYGO1	0.786520	0.012853	0.745091	0.001236	0.786520	0.012853	0.962903	0.032685	0.024760	0.021913	-0.00969656924500524
30deg0-18deg1-6deg2_8	100	10	C1orf21;CPB2;HPCAL4;FLNC	0.793103	0.004180	1.602776	0.121565	0.793103	0.004180	0.983871	0.019455	0.005376	0.006485	0.00968811389223333
30deg0-20deg1-2deg2_6	100000	1	MRTO4;GRTP1;RPL18;KIF13B	0.793103	0.000000	1.101572	0.028495	0.793103	0.000000	0.983871	0.019455	0.000000	0.000000	0.00968811389223333
30deg0-14deg1-10deg2_18	100000	1000	SLC5A4;TLR4;PDGFC	0.645768	0.081404	0.734944	0.006393	0.645768	0.081404	0.724194	0.264981	0.140434	0.134921	-0.00968162186659237
30deg0-14deg1-0deg2_4	1000	1	LAMB3	0.670846	0.033386	0.780654	0.011476	0.670846	0.033386	0.766129	0.223735	0.059977	0.055872	-0.00959432671832862
30deg0-6deg1-6deg2_11	100000	10	RCAN2	0.697806	0.055236	0.773659	0.022270	0.697806	0.055236	0.811290	0.179377	0.096207	0.091734	-0.00958811938518054
30deg0-18deg1-8deg2_1	1	1	DTNA	0.699687	0.070380	0.762571	0.020064	0.699687	0.070380	0.814516	0.176265	0.123662	0.117192	-0.00953576130453312
30deg0-14deg1-2deg2_3	100	1	SCN5A	0.720690	0.056757	0.791170	0.029950	0.720690	0.056757	0.850000	0.141634	0.094936	0.093299	-0.00944936437635463
30deg0-16deg1-0deg2_3	100	1	SCN5A	0.720690	0.056757	0.791170	0.029950	0.720690	0.056757	0.850000	0.141634	0.094936	0.093299	-0.00944936437635463
30deg0-14deg1-10deg2_2	10	1	GADD45B	0.549843	0.084110	0.713889	0.019216	0.549843	0.084110	0.566129	0.422179	0.139670	0.138076	-0.00936063994214449
30deg0-6deg1-4deg2_18	100000	1000	SV2A;ZNF668	0.568652	0.051716	0.686459	0.007098	0.568652	0.051716	0.627419	0.384047	0.081304	0.083806	0.00933893119122907
30deg0-4deg1-2deg2_2	10	1	PNLIP	0.562382	0.079062	0.738949	0.025854	0.562382	0.079062	0.587097	0.401556	0.130595	0.129616	-0.00915124831431515
30deg0-4deg1-2deg2_13	1000	100	SYNPO;ITGBL1;VAMP5;XBP1;HR	0.548589	0.000000	0.867471	0.006504	0.548589	0.000000	0.564516	0.424125	0.000000	0.000000	-0.0090888189508486
30deg0-10deg1-10deg2_6	100000	1	MAPRE3;CPB2;TM4SF1;RCN3	0.432915	0.081344	3.929187	0.872977	0.432915	0.081344	0.375806	0.613230	0.136225	0.133832	-0.00891762270122977
30deg0-4deg1-6deg2_4	1000	1	CTGF	0.696238	0.027226	0.854031	0.015147	0.696238	0.027226	0.809677	0.181712	0.048015	0.045240	-0.00880509751366247
30deg0-6deg1-0deg2_7	10	10	ERCC2;E2F5;BAK1;LAMB3	0.711599	0.021461	0.787382	0.021470	0.711599	0.021461	0.835484	0.156420	0.030108	0.033846	-0.00878344470349263
30deg0-18deg1-2deg2_8	100	10	PTGES3	0.805329	0.000313	0.995066	0.080550	0.805329	0.000313	1.000000	0.000389	0.000000	0.000389	0.00869647729455237
30deg0-10deg1-4deg2_3	100	1	PLXNC1	0.194671	0.000313	0.566643	0.018811	0.194671	0.000313	0.000000	0.999611	0.000000	0.000389	-0.00869647729455138
30deg0-14deg1-0deg2_3	100	1	PTGES3	0.264577	0.040335	0.629238	0.018325	0.264577	0.040335	0.124194	0.882879	0.083222	0.070059	0.00865988021565647
30deg0-8deg1-4deg2_1	1	1	NRTN	0.740125	0.054122	0.798779	0.020621	0.740125	0.054122	0.901613	0.105058	0.065734	0.082859	0.00865631102802656
30deg0-14deg1-2deg2_21	100000	100000	HRH4;HMG20B	0.802508	0.002090	0.694347	0.000557	0.802508	0.002090	0.996774	0.004669	0.002151	0.003113	0.00863839315786365
30deg0-18deg1-4deg2_4	1000	1	TAC1	0.703762	0.045495	1.493501	0.140445	0.703762	0.045495	0.822581	0.169261	0.073599	0.074223	-0.00857698882208628
30deg0-2deg1-0deg2_7	10	10	ATP5B	0.720063	0.060154	1.117076	0.119537	0.720063	0.060154	0.850000	0.142412	0.103752	0.099516	-0.00855505867182395
30deg0-4deg1-6deg2_21	100000	100000	GTDC1;FRAT1;FHL3	0.757680	0.040303	0.759715	0.013692	0.757680	0.040303	0.929032	0.076654	0.053071	0.062656	0.00851378299628608
30deg0-18deg1-4deg2_11	100000	10	TAC1	0.467712	0.071129	1.677667	0.494474	0.467712	0.071129	0.461290	0.549416	0.113750	0.115722	0.00851106508206367
30deg0-14deg1-8deg2_11	100000	10	HMOX1	0.594044	0.052452	0.711373	0.013248	0.594044	0.052452	0.640323	0.349416	0.087489	0.086196	-0.00850489866835179
30deg0-10deg1-0deg2_20	100000	10000	QKI;CALCOCO1	0.379624	0.094333	0.670815	0.011726	0.379624	0.094333	0.290323	0.700000	0.147825	0.152753	-0.00837116318566761
30deg0-18deg1-0deg2_17	10000	1000	NGF	0.776803	0.028840	0.929062	0.199260	0.776803	0.028840	0.946774	0.048638	0.053226	0.048638	-0.00836744680928282
30deg0-20deg1-2deg2_16	1000	1000	GNAI1;PRKCA;COL16A1	0.756113	0.047456	0.784790	0.027079	0.756113	0.047456	0.911290	0.082879	0.088710	0.080300	-0.00831760920693972
30deg0-20deg1-2deg2_20	100000	10000	GNAI1;PRKCA;COL16A1	0.756113	0.047456	0.784627	0.027090	0.756113	0.047456	0.911290	0.082879	0.088710	0.080300	-0.00831760920693972
30deg0-12deg1-2deg2_15	100000	100	LAMA5;CALCOCO1;PADI3	0.670533	0.060365	0.715766	0.011514	0.670533	0.060365	0.790323	0.218288	0.097814	0.098506	0.00827168270012129
